,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
122,looking for a savior,Higher Love,James Vincent McMorrow,We Don't Eat EP,0,2012-02-21,214786
123,looking for a savior,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),66,2013-01-01,266906
124,looking for a savior,It Could Be So (Bonus Track),Born Ruffians,RUFF (Deluxe Version),0,2016-04-22,129725
125,looking for a savior,"Jesus, Jesus",Noah Gundersen,Saints & Liars,0,2009-10-09,222000
126,looking for a savior,Ledges,Noah Gundersen,Ledges,27,2014-02-11,258440
127,looking for a savior,Human,Jon Bellion,The Definition,47,2014-09-23,205268
128,looking for a savior,World Spins Madly On,The Weepies,Say I Am You,0,2006,165133
129,looking for a savior,World Spins Madly On,Deb Talan,Say I Am You,0,2006,165133
130,looking for a savior,World Spins Madly On,Steve Tannen,Say I Am You,0,2006,165133
131,looking for a savior,Shine,Leon Bridges,Coming Home (Deluxe),46,2015-06-23,217493
132,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),Chance the Rapper,Coloring Book,48,2016-05-27,337423
133,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),Jay Electronica,Coloring Book,48,2016-05-27,337423
134,looking for a savior,How Great (feat. Jay Electronica & My cousin Nicole),My cousin Nicole,Coloring Book,48,2016-05-27,337423
135,Heavy Feeling,Holocene,Bon Iver,Bon Iver,1,2011-06-21,336613
136,Heavy Feeling,Blindsided,Bon Iver,"For Emma, Forever Ago",0,2008-02-19,329266
137,Heavy Feeling,Smother,Daughter,If You Leave,0,2013-01-01,240560
138,Heavy Feeling,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),66,2013-01-01,266906
139,Heavy Feeling,We Don't Eat,James Vincent McMorrow,Early In The Morning,0,2010,293800
140,Heavy Feeling,Higher Love,James Vincent McMorrow,We Don't Eat EP,0,2012-02-21,214786
141,Heavy Feeling,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,0,2011-07-03,173080
