,playlist_name,variable,value
207,artsy fartsy,speechiness,0.04250416666666667
208,coming of age online,speechiness,0.048754
209,current nov22,speechiness,0.0673625
210,doin' the naughty,speechiness,0.050588888888888885
211,don't worry about it,speechiness,0.08921
212,"dont worry, you're doing just fine",speechiness,0.0760076923076923
213,flerw,speechiness,0.32053333333333334
214,hang on little tomato,speechiness,0.04164444444444445
215,i'd make u up,speechiness,0.0645923076923077
216,looking for a savior,speechiness,0.08145
217,our first dance,speechiness,0.0311
218,sing me to sleep,speechiness,0.039475
219,songs that break my heart,speechiness,0.042439130434782604
220,to my future daughter or son,speechiness,0.031325
221,wedding playlist 2,speechiness,0.03462
222,when you realize you’re both in love,speechiness,0.05937777777777778
223,you're so stinkin' cute!!,speechiness,0.0375875
224,Apt. 435,valence,0.3250153846153846
225,Dancing slowly in a vast room,valence,0.18845714285714285
226,Heavy Feeling,valence,0.24561666666666668
227,Introducing:,valence,0.338375
228,Lina's Country Classics,valence,0.5057
229,Lina's happy-ish love songs,valence,0.4866755102040817
230,Momma,valence,0.5425448275862069
231,Re-education pt. 1,valence,0.545611111111111
232,Re-education pt. 2,valence,0.7858
233,Re-education pt. 3,valence,0.647
234,Re-education pt. 4,valence,0.6188571428571429
235,Re-education: Bob Dylan,valence,0.5059166666666667
236,When you need it,valence,0.33571428571428574
237,You are safe,valence,0.26875
238,a love letter to little me,valence,0.629
239,artsy fartsy,valence,0.4958458333333333
240,coming of age online,valence,0.42908
241,current nov22,valence,0.4430875
242,doin' the naughty,valence,0.3451222222222222
243,don't worry about it,valence,0.44889999999999997
244,"dont worry, you're doing just fine",valence,0.40338461538461534
245,flerw,valence,0.5433333333333333
246,hang on little tomato,valence,0.38882222222222224
247,i'd make u up,valence,0.6690769230769231
248,looking for a savior,valence,0.35926
249,our first dance,valence,0.137
250,sing me to sleep,valence,0.3101375
251,songs that break my heart,valence,0.3401782608695652
252,to my future daughter or son,valence,0.202375
253,wedding playlist 2,valence,0.7079000000000001
254,when you realize you’re both in love,valence,0.40955555555555556
255,you're so stinkin' cute!!,valence,0.5439625
